식별자,멘트 전체,최종,,,최종,,업종,멘트 전체,최종,,직종,멘트 전체,최종,,,진입계기,진입과정,근무방식,계약형태,업무내용,저임금노동,장시간노동,휴식권,건강권,겸업,성희롱,고용불안,해고·계약해지,임금체불·결방,조직문화·괴롭힘,성차별·외모평가,연령차별·직업수명,지속 동기,향후 진로·전망,구조적 문제점,개선방향
A1,2,2,,진입계기,10,,시사,50,50,,아나운서,17,17,,아나운서,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,4,2,1
A2,5,5,,진입과정,10,,교양,13,13,,기상캐스터,18,18,,기상캐스터,0,0,2,0,0,1,0,0,2,0,2,1,3,1,0,3,0,1,0,0,2
A3,4,4,,근무방식,15,,드라마,42,42,,리포터,6,6,,리포터,0,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
A4,2,2,,계약형태,10,,예능,18,18,,캐스터,5,5,,캐스터,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
A5,2,2,,업무내용,18,,유튜브,58,58,,피디,22,22,,피디,0,2,2,0,2,1,2,0,2,0,0,3,0,3,0,0,0,1,3,1,0
A6,2,2,,저임금노동,13,,엔터,29,29,,작가,36,36,,작가,1,1,5,0,1,2,4,1,2,0,1,1,3,8,6,0,0,0,0,0,0
C1,11,11,,장시간노동,16,,기타,6,6,,조연출,5,5,,조연출,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
C2,10,10,,휴식권,5,,,,,,스크립터,1,1,,스크립터,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C3,8,8,,건강권,19,,,,,,촬영,16,16,,촬영,2,2,0,2,0,0,1,0,2,0,0,3,1,1,1,0,0,0,1,0,0
M11,6,6,,겸업,0,,,,,,조명,9,9,,조명,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1
O11,5,5,,성희롱,5,,,,,,그립,4,4,,그립,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P11,4,4,,고용불안,13,,,,,,녹음,8,8,,녹음,0,1,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
P12,3,3,,해고·계약해지,9,,,,,,미술,0,0,,미술,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P13,4,4,,임금체불·결방,16,,,,,,의상,10,10,,의상,0,0,0,0,1,3,1,0,2,0,0,0,0,0,2,0,0,1,0,0,0
P14,4,4,,조직문화·괴롭힘,13,,,,,,분장,3,3,,분장,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
W11,1,1,,성차별·외모평가,5,,,,,,소품,5,5,,소품,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W12,4,4,,연령차별·직업수명,3,,,,,,후반작업,9,9,,후반작업,0,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
W13,2,2,,지속 동기,4,,,,,,배우,0,0,,배우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W14,5,5,,향후 진로·전망,13,,,,,,매니저,4,4,,매니저,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
W15,1,1,,구조적 문제점,11,,,,,,기타,20,20,,기타,2,0,0,0,2,0,2,1,5,0,0,0,0,0,0,0,0,0,2,5,1
W16,2,2,,개선방향,8,,,,,,음반관련,6,6,,음반관련,0,0,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0
W17,4,4,,,,,,,,,공연관련,0,0,,공연관련,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U053,1,1,,,,,,,,,편집,12,12,,편집,1,0,1,3,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0
P113,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M003,1,1,,,,,,,,,진행,46,46,,,,,,,,,,,,,,,,,,,,,,,
P100,1,1,,,,,,,,,기획,64,64,,,,,,,,,,,,,,,,,,,,,,,
P106,1,1,,,,,,,,,기술,37,37,,,,,,,,,,,,,,,,,,,,,,,
W154,1,1,,,,,,,,,미술,18,18,,,,,,,,,,,,,,,,,,,,,,,
O091,1,1,,,,,,,,,기타,51,51,,,,,,,,,,,,,,,,,,,,,,,
Q121,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P172,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G035,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W049,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M056,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O060,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F162,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P028,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W095,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P138,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W176,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O179,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W177,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W174,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W169,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W167,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F014,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P025,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M050,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F072,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P078,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F090,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O104,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G110,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O116,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P118,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W050,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W051,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W087,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W164,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S16,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S26,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S34,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M85,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D84,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W83,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G82,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L80,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M78,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M74,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S75,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D72,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q66,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E29,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E32,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E27,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E33,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E20,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E23,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E39,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E22,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E35,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E15,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E21,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E37,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y21,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y27,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y25,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y26,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
